ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10364634,HY556572,12/31/2015 09:30:00 PM,032XX N SHEFFIELD AVE,560,ASSAULT,SIMPLE,APARTMENT,false,false,1924,19,44,6,08A,1169040,1921620,2015,01/07/2016 16:14,41.94044477,-87.65412499,"(41.94044477, -87.654124986)"
10364649,HY556565,12/31/2015 09:29:00 PM,066XX S CHAMPLAIN AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,321,3,20,42,5,1181709,1861080,2015,01/07/2016 16:14,41.77403468,-87.60943861,"(41.77403468, -87.609438609)"
10364725,HY556571,12/31/2015 09:29:00 PM,041XX W CULLERTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1012,10,24,29,14,1149134,1890101,2015,01/07/2016 16:14,41.85436285,-87.72810388,"(41.854362853, -87.728103883)"
10364600,HY556556,12/31/2015 09:13:00 PM,082XX S COTTAGE GROVE AVE,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,STREET,true,false,631,6,8,44,18,1182990,1850614,2015,01/07/2016 16:14,41.74528523,-87.60506756,"(41.745285231, -87.605067562)"
10364653,HY556581,12/31/2015 09:08:00 PM,004XX N STATE ST,454,BATTERY,AGG PO HANDS NO/MIN INJURY,SIDEWALK,true,false,1834,18,42,8,08B,1176292,1903432,2015,01/10/2016 08:18,41.8903754,-87.62802141,"(41.890375396, -87.628021414)"
10365019,HZ100210,12/31/2015 09:05:00 PM,039XX W LEXINGTON ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,1132,11,24,26,5,1150294,1896409,2015,01/07/2016 16:14,41.87165024,-87.72368176,"(41.871650236, -87.72368176)"
10367484,HZ103484,12/31/2015 09:00:00 PM,028XX W JACKSON BLVD,870,THEFT,POCKET-PICKING,RESIDENCE PORCH/HALLWAY,false,false,1124,11,2,27,6,1157560,1898567,2015,01/07/2016 16:14,41.87742729,-87.69694653,"(41.877427291, -87.696946533)"
10365616,HZ101322,12/31/2015 09:00:00 PM,006XX N CLARK ST,870,THEFT,POCKET-PICKING,RESTAURANT,false,false,1832,18,42,8,6,1175432,1904270,2015,01/07/2016 16:14,41.89269427,-87.63115452,"(41.892694268, -87.631154519)"
10364682,HZ100042,12/31/2015 09:00:00 PM,066XX S ALBANY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,false,false,831,8,15,66,14,1156860,1860482,2015,01/07/2016 16:14,41.77293154,-87.70054669,"(41.772931536, -87.700546694)"
10365069,HZ100572,12/31/2015 09:00:00 PM,074XX S GREEN ST,915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,false,false,733,7,17,68,7,1171922,1855660,2015,01/07/2016 16:14,41.759382,-87.64547458,"(41.759381999, -87.645474583)"
